# Last update: Sun, 17 Mar 2019 23:00:15 +0100
#
# IP	number of (black)lists
#
171.25.193.20	11
171.25.193.25	10
171.25.193.77	10
128.31.0.13	9
89.234.157.254	9
197.231.221.211	9
65.19.167.131	9
185.220.101.46	9
185.220.101.33	9
185.220.102.4	8
125.64.94.200	8
37.220.36.240	8
51.77.177.194	8
42.61.24.202	8
171.25.193.78	8
209.95.51.11	8
31.220.0.225	8
185.220.101.45	8
185.53.88.82	8
18.85.192.253	8
185.220.101.15	8
192.160.102.170	8
185.220.101.27	8
185.220.101.22	8
122.2.223.242	8
51.15.53.83	7
182.226.53.244	7
58.42.228.170	7
207.244.70.35	7
198.98.50.112	7
118.33.75.186	7
221.138.204.181	7
162.247.74.199	7
178.73.215.171	7
65.19.167.132	7
111.61.110.136	7
62.102.148.67	7
204.85.191.30	7
23.129.64.101	7
35.0.127.52	7
80.67.172.162	7
46.165.245.154	7
209.141.45.239	7
185.104.120.60	7
222.161.209.43	7
173.23.187.5	7
205.185.120.96	7
185.107.47.171	7
185.220.101.7	7
185.220.101.6	7
185.220.101.1	7
209.141.52.206	7
199.87.154.255	7
81.180.74.167	7
222.223.203.110	7
212.21.66.6	7
185.220.101.44	7
87.120.36.157	7
185.220.101.58	7
80.82.77.139	7
62.102.148.68	7
185.220.101.70	7
178.20.55.16	7
185.220.101.62	7
185.220.101.69	7
185.220.101.5	7
185.220.101.3	7
192.160.102.168	7
219.248.85.10	7
199.249.230.84	7
185.220.101.30	7
185.220.101.32	7
77.247.181.163	7
51.15.43.205	7
185.220.101.26	7
185.220.101.25	7
192.42.116.16	7
205.185.116.238	7
209.141.53.182	7
93.57.56.124	7
185.220.101.13	7
163.172.151.47	7
195.206.105.217	7
185.220.102.8	7
185.94.111.1	7
209.141.33.7	7
218.25.89.90	7
137.74.167.96	7
77.247.181.165	7
77.247.181.162	7
211.105.82.250	7
123.150.105.165	7
58.153.1.173	6
94.23.27.164	6
219.91.150.52	6
138.197.177.62	6
185.244.25.119	6
91.231.165.197	6
221.180.206.160	6
80.82.77.33	6
218.60.28.126	6
162.247.74.27	6
178.128.96.131	6
198.46.186.120	6
162.247.74.202	6
178.211.51.210	6
98.235.133.140	6
46.29.167.86	6
116.193.159.2	6
87.92.9.121	6
46.165.254.166	6
113.122.2.22	6
163.172.224.41	6
211.109.96.118	6
42.200.135.17	6
65.48.170.90	6
117.89.33.188	6
164.132.51.91	6
217.115.10.132	6
196.52.43.90	6
1.254.237.8	6
171.25.193.235	6
140.112.10.158	6
69.70.42.12	6
49.163.34.78	6
60.12.215.85	6
95.84.183.14	6
134.209.196.198	6
176.10.99.200	6
144.217.90.68	6
45.119.212.105	6
185.107.47.215	6
81.83.176.15	6
31.185.104.19	6
221.203.38.14	6
182.172.163.153	6
5.199.130.188	6
31.185.104.21	6
119.96.122.18	6
79.172.193.32	6
222.143.242.69	6
218.153.68.2	6
196.52.43.101	6
207.190.65.76	6
77.247.109.6	6
70.113.201.122	6
68.183.32.44	6
51.83.46.109	6
64.113.32.29	6
144.139.149.2	6
95.176.176.133	6
219.150.98.2	6
185.100.86.182	6
122.49.218.5	6
185.104.120.7	6
185.104.120.3	6
31.168.227.139	6
31.202.199.114	6
84.13.54.169	6
162.213.3.221	6
218.60.148.116	6
58.144.150.233	6
89.31.57.5	6
185.220.101.54	6
87.118.92.43	6
167.99.156.12	6
206.189.181.86	6
199.249.230.74	6
199.249.230.75	6
199.249.230.78	6
77.247.109.28	6
121.142.165.111	6
125.64.94.201	6
176.10.104.240	6
211.43.127.239	6
185.220.101.49	6
200.87.42.4	6
88.2.155.142	6
198.50.200.129	6
185.232.67.220	6
77.247.109.35	6
95.128.43.164	6
196.52.43.95	6
74.127.87.26	6
58.243.125.205	6
140.255.115.94	6
168.149.228.82	6
2.50.55.162	6
144.217.161.119	6
219.69.76.205	6
101.226.241.113	6
196.52.43.59	6
196.52.43.58	6
196.52.43.55	6
196.52.43.54	6
196.52.43.57	6
196.52.43.56	6
196.52.43.51	6
196.52.43.53	6
196.52.43.52	6
104.244.76.13	6
196.52.43.115	6
68.58.44.164	6
